FILE_NAME=Trajectory_StowToL4.csv,T=0.28,dt=0.001,h0=0.0,hf=0.7,theta0_deg=-93.0,thetaf_deg=-235.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.2,penalty_strength=1000000.0
time,height,angle_deg,dh,dtheta_rad_s
8.400000000000000522e-02,3.235354875103020333e-01,-1.088480791551011464e+02,3.967419539882497403e+00,-9.777336143328456686e+00
8.500000000000000611e-02,3.275029070501845330e-01,-1.094082792509945818e+02,3.944944887857364080e+00,-9.919932071632933557e+00
8.600000000000000699e-02,3.314478519380418819e-01,-1.099766494917556088e+02,3.922493273505046396e+00,-1.006055354966538928e+01
8.700000000000000788e-02,3.353703452115469053e-01,-1.105530767497168085e+02,3.900064694580382962e+00,-1.019920059148797620e+01
8.799999999999999489e-02,3.392704099061272793e-01,-1.111374478980164042e+02,3.877659148840515879e+00,-1.033587321096539569e+01
8.899999999999999578e-02,3.431480690549678081e-01,-1.117296498105870342e+02,3.855276634044890294e+00,-1.047057142176491062e+01
8.999999999999999667e-02,3.470033456890126988e-01,-1.123295693621444542e+02,3.832917147955255288e+00,-1.060329523735634361e+01
9.099999999999999756e-02,3.508362628369678937e-01,-1.129370934281761549e+02,3.810580688335661659e+00,-1.073404467101207516e+01
9.199999999999999845e-02,3.546468435253035678e-01,-1.135521088849300213e+02,3.788267252952463249e+00,-1.086281973580704729e+01
9.299999999999999933e-02,3.584351107782560719e-01,-1.141745026094031772e+02,3.765976839574317392e+00,-1.098962044461876886e+01
9.400000000000000022e-02,3.622010876178303751e-01,-1.148041614793305030e+02,3.743709445972181804e+00,-1.111444681012730840e+01
9.500000000000000111e-02,3.659447970638025627e-01,-1.154409723731734374e+02,3.721465069919318136e+00,-1.123729884481530306e+01
9.600000000000000200e-02,3.696662621337218346e-01,-1.160848221701085947e+02,3.699243709191288421e+00,-1.135817656096795858e+01
9.700000000000000289e-02,3.733655058429131146e-01,-1.167355977500164812e+02,3.677045361565955961e+00,-1.147707997067304220e+01
9.800000000000000377e-02,3.770425512044790484e-01,-1.173931859934701691e+02,3.654870024823486663e+00,-1.159400908582089862e+01
9.900000000000000466e-02,3.806974212293025572e-01,-1.180574737817240276e+02,3.632717696746346814e+00,-1.170896391810443937e+01
1.000000000000000056e-01,3.843301389260489476e-01,-1.187283479967023823e+02,3.610588375119303528e+00,-1.182194447901914458e+01
1.010000000000000064e-01,3.879407273011681867e-01,-1.194056955209881608e+02,3.588482057729423857e+00,-1.193295077986307362e+01
1.020000000000000073e-01,3.915292093588976785e-01,-1.200894032378116378e+02,3.566398742366077013e+00,-1.204198283173685624e+01
1.030000000000000082e-01,3.950956081012637067e-01,-1.207793580310391661e+02,3.544338426820931698e+00,-1.214904064554369434e+01
1.040000000000000091e-01,3.986399465280845988e-01,-1.214754467851617079e+02,3.522301108887955667e+00,-1.225412423198937439e+01
1.049999999999999961e-01,4.021622476369726140e-01,-1.221775563852837081e+02,3.500286786363417058e+00,-1.235723360158224970e+01
1.059999999999999970e-01,4.056625344233360519e-01,-1.228855737171116118e+02,3.478295457045883943e+00,-1.245836876463326170e+01
1.069999999999999979e-01,4.091408298803819177e-01,-1.235993856669427089e+02,3.456327118736223447e+00,-1.255752973125592398e+01
1.079999999999999988e-01,4.125971569991181420e-01,-1.243188791216537226e+02,3.434381769237601745e+00,-1.265471651136633291e+01
1.089999999999999997e-01,4.160315387683557464e-01,-1.250439409686895260e+02,3.412459406355483615e+00,-1.274992911468316947e+01
1.100000000000000006e-01,4.194439981747112300e-01,-1.257744580960518448e+02,3.390560027897632889e+00,-1.284316755072769212e+01
1.110000000000000014e-01,4.228345582026088456e-01,-1.265103173922879165e+02,3.368683631674111556e+00,-1.293443182882374209e+01
1.120000000000000023e-01,4.262032418342829865e-01,-1.272514057464791932e+02,3.346830215497280214e+00,-1.302372195809775057e+01
1.130000000000000032e-01,4.295500720497802405e-01,-1.279976100482300296e+02,3.324999777181797622e+00,-1.311103794747872975e+01
1.140000000000000041e-01,4.328750718269620545e-01,-1.287488171876564422e+02,3.303192314544619368e+00,-1.319637980569827640e+01
1.150000000000000050e-01,4.361782641415066775e-01,-1.295049140553746270e+02,3.281407825404999201e+00,-1.327974754129058077e+01
1.160000000000000059e-01,4.394596719669116580e-01,-1.302657875424898180e+02,3.259646307584488589e+00,-1.336114116259241236e+01
1.170000000000000068e-01,4.427193182744961208e-01,-1.310313245405848761e+02,3.237907758906935385e+00,-1.344056067774313590e+01
1.180000000000000077e-01,4.459572260334030425e-01,-1.318014119417090626e+02,3.216192177198485158e+00,-1.351800609468470249e+01
1.190000000000000085e-01,4.491734182106015272e-01,-1.325759366383666134e+02,3.194499560287579421e+00,-1.359347742116165314e+01
1.199999999999999956e-01,4.523679177708890831e-01,-1.333547855235055408e+02,3.172829906004956513e+00,-1.366697466472111877e+01
1.209999999999999964e-01,4.555407476768940644e-01,-1.341378454905063222e+02,3.151183212183650717e+00,-1.373849783271282554e+01
1.219999999999999973e-01,4.586919308890776703e-01,-1.349250034331703887e+02,3.129559476658993145e+00,-1.380804693228909308e+01
1.229999999999999982e-01,4.618214903657366643e-01,-1.357161462457090977e+02,3.107958697268609960e+00,-1.387562197040482559e+01
1.239999999999999991e-01,4.649294490630053178e-01,-1.365111608227323075e+02,3.086380871852423269e+00,-1.394122295381752963e+01
1.250000000000000000e-01,4.680158299348577411e-01,-1.373099340592369799e+02,3.064825998252650674e+00,-1.400484988908730344e+01
1.260000000000000009e-01,4.710806559331103816e-01,-1.381123528505959257e+02,3.043294074313804831e+00,-1.406650278257684228e+01
1.270000000000000018e-01,4.741239500074241886e-01,-1.389183040925466059e+02,3.021785097882693005e+00,-1.412618164045143310e+01
1.280000000000000027e-01,4.771457351053068896e-01,-1.397276746811796500e+02,3.000299066808417514e+00,-1.418388646867896341e+01
1.290000000000000036e-01,4.801460341721153213e-01,-1.405403515129276855e+02,2.978835978942376173e+00,-1.423961727302991420e+01
1.300000000000000044e-01,4.831248701510577059e-01,-1.413562214845538847e+02,2.957395832138259184e+00,-1.429337405907736702e+01
1.310000000000000053e-01,4.860822659831959824e-01,-1.421751714931407662e+02,2.935978624252052249e+00,-1.434515683219700044e+01
1.320000000000000062e-01,4.890182446074480271e-01,-1.429970884360789398e+02,2.914584353142034789e+00,-1.439496559756709182e+01
1.330000000000000071e-01,4.919328289605900961e-01,-1.438218592110555392e+02,2.893213016668779058e+00,-1.444280036016851732e+01
1.340000000000000080e-01,4.948260419772588237e-01,-1.446493707160432223e+02,2.871864612695152363e+00,-1.448866112478475365e+01
1.350000000000000089e-01,4.976979065899540533e-01,-1.454795098492886609e+02,2.850539139086313067e+00,-1.453254789600187813e+01
1.360000000000000098e-01,5.005484457290403366e-01,-1.463121635093012856e+02,2.829236593709714587e+00,-1.457446067820856506e+01
1.370000000000000107e-01,5.033776823227500419e-01,-1.471472185948420304e+02,2.807956974435102726e+00,-1.461439947559609642e+01
1.380000000000000115e-01,5.061856392971851859e-01,-1.479845620049118793e+02,2.786700279134514791e+00,-1.465236429215834946e+01
1.390000000000000124e-01,5.089723395763197100e-01,-1.488240806387407247e+02,2.765466505682281362e+00,-1.468835513169180373e+01
1.400000000000000133e-01,5.117378060820020336e-01,-1.496656613957759987e+02,2.744255651955025854e+00,-1.472237199779554828e+01
1.410000000000000142e-01,5.144820617339569413e-01,-1.505091911756712761e+02,2.723067715831661850e+00,-1.475441489387126559e+01
1.420000000000000151e-01,5.172051294497885809e-01,-1.513545568782750479e+02,2.701902695193396209e+00,-1.478448382312324760e+01
1.430000000000000160e-01,5.199070321449820176e-01,-1.522016454036194659e+02,2.680760587923727289e+00,-1.481257878855838861e+01
1.440000000000000169e-01,5.225877927329056760e-01,-1.530503436519088893e+02,2.659641391908443619e+00,-1.483869979298617992e+01
